DonorUniqueId,DonorPostalCode,DonorAge,MaritalStatus,GenderIdentity,IsMemberFlag,IsAlumnusFlag,IsParentFlag,HasInvolvementFlag,WealthRating,AcademicDegreeLevel,PreferredAddressType,HasEmailFlag,ConsecutiveDonorYears,LastFiscalYearDonation,Donation2FiscalYearsAgo,Donation3FiscalYearsAgo,Donation4FiscalYearsAgo,Donation5FiscalYearsAgo,CurrentFiscalYearDonation,CumulativeDonationAmount,DonorIndicatorFlag.,Region
1,23187,42,Married,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,100,Y,Virginia
2,77643,33,,Female,N,Y,N,Y,,UB,,Y,0,0,0,0,0,0,0,21000,Y,Texas (northern)
3,<NA>,42,Married,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,200,2000,Y,Unknown
4,47141,31,,Female,N,Y,N,Y,,,HOME,Y,0,0,0,0,0,0,0,00,N,Indiana
5,92555,68,,Female,N,N,N,N,,,HOME,Y,0,0,0,0,0,0,0,5050,Y,California
6,95191,57,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,California
7,90265,42,,Male,N,N,N,N,,,HOME,Y,3,0,0,0,0,0,0,00,N,California
8,67701,42,Married,Female,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,1700,Y,Kansas
9,95972,42,Single,Uknown,N,N,N,Y,,,HOME,N,0,5,0,0,0,0,0,50,Y,California
10,49884,42,Married,Female,N,N,Y,N,,,HOME,N,0,0,0,0,0,0,0,150,Y,Michigan
11,98004,40,,Male,N,N,N,N,,,HOME,Y,0,0,0,0,0,0,0,00,N,Washington
12,23328,42,Married,Female,N,N,Y,Y,,,HOME,N,2,0,0,0,75,0,0,750,Y,Virginia
13,90265,42,,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,California
14,44237,42,,Female,N,N,N,N,,,HOME,Y,1,0,0,0,0,0,0,00,N,Ohio
15,16937,42,Married,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,Pennsylvania
16,59035,47,,Male,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,100,Y,Montana
17,90265,42,,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,California
18,37023,42,Single,Female,N,N,N,Y,,,BUSN,N,0,0,0,0,0,0,0,00,N,Tennessee
19,35040,42,,Female,N,N,N,N,,,HOME,N,1,0,0,26,0,0,0,260,Y,Alabama
20,42782,42,Married,Male,N,N,Y,N,,,HOME,Y,1,0,0,0,0,0,50,500,Y,Kentucky
21,<NA>,42,Single,Uknown,N,N,N,Y,,,HOME,N,0,0,0,0,0,0,0,00,N,Unknown
22,97905,42,Married,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,Oregon
23,90265,61,,Female,N,Y,N,Y,,GP,HOME,Y,2,0,0,0,0,0,0,650,Y,California
24,<NA>,58,Married,Female,N,Y,N,Y,,UB,HOME,N,1,0,0,0,0,0,0,530,Y,Unknown
25,29822,42,Married,Male,N,N,N,N,,,HOME,N,1,0,0,0,0,0,0,00,N,South Carolina
26,6020,42,Married,Female,N,N,Y,N,,,HOME,Y,0,0,0,0,0,0,0,1250,Y,Illinois
27,2339,42,Single,Female,N,N,N,N,,,HOME,N,0,0,0,0,0,0,0,00,N,Virginia
28,93065,42,,Male,N,N,N,N,3.0,,HOME,N,2,0,0,0,0,0,0,860,Y,California
